아하,67,167
하사,75,165
가카,72,179
아파,87,153
바카,75,183
라마,62,150
다하,49,153
하바,60,143
바타,43,172
라파,53,172
차가,46,168
마아,49,141
다가,63,162
사나,90,175
카가,99,168
아가,54,168
다아,67,166
차아,94,170
카카,80,182
파나,98,160
타카,50,140
가하,66,186
사타,72,155
나라,91,180
하마,97,148
차가,86,141
타파,55,144
가차,55,140
타아,41,166
바자,91,170
카가,59,185
마하,93,155
사다,90,178
가하,46,171
자자,56,178
차카,66,148
자바,46,147
차차,83,167
사아,44,158
나하,53,174
가자,57,189
차차,40,146
타자,49,171
나바,86,153
나바,66,155
하마,76,160
차라,66,158
다바,96,188
자바,44,148
다라,51,183
타나,95,178
타다,89,169
파타,78,168
카차,68,148
하파,59,155
나하,72,162
카차,41,140
차다,92,148
나가,51,149
차다,76,162
사다,55,144
가자,77,173
마마,88,178
아가,93,154
차하,94,164
차타,43,178
라파,87,152
라카,80,146
다가,77,170
바나,67,154
타아,98,153
바하,98,178
차파,97,178
가다,60,180
파가,43,175
사바,49,181
마나,54,143
사자,59,182
나나,97,184
마아,87,146
나라,44,187
카타,78,189
마나,74,166
차하,79,178
아가,83,146
가바,56,184
자나,63,147
타사,54,160
자가,73,155
파차,41,155
자다,59,142
라라,90,161
차하,71,169
가아,90,176
다자,99,177
마라,40,172
차라,82,169
타바,96,159
자나,73,151
가아,71,189
타카,61,183
라자,78,146
파타,55,140
아바,84,149
마아,60,162
하파,44,180
파차,72,170
아차,60,163
아파,74,171
하바,57,158
타가,94,169
다사,54,154
카차,67,165
아파,60,169
바아,56,170
마자,98,153
마나,44,164
바마,43,188
사하,91,159
다자,86,163
사라,64,169
사카,76,184
사가,78,157
하하,87,168
다카,49,179
타하,99,188
하사,51,178
타타,85,169
사차,85,147
차아,62,182
라파,83,168
하파,89,148
라나,80,185
아아,59,165
하나,98,173
파바,89,152
다나,88,174
마나,95,157
나사,64,183
카라,43,164
사자,51,160
아하,53,149
사다,57,148
아하,91,167
자파,90,158
사아,41,144
나마,60,147
나아,55,155
카마,60,168
아가,78,155
사타,69,140
사카,98,165
나타,78,146
라나,75,156
차다,48,156
다마,94,171
나하,53,157
마가,97,173
마라,45,160
카라,44,187
사파,72,188
라아,51,147
아파,70,147
파파,49,182
차차,50,187
하파,41,149
나라,86,165
아나,80,145
라다,81,161
라가,69,178
마가,99,186
아사,49,154
파하,51,157
자바,76,141
아바,41,165
라차,59,174
가사,77,185
타나,41,175
차가,59,159
가아,87,161
마타,61,157
마타,78,158
하마,59,164
타하,77,184
아가,93,141
바라,51,158
아바,49,153
하차,49,145
라하,84,187
나다,63,159
라하,90,168
바바,46,176
파바,41,147
차차,94,170
가카,45,174
아라,93,182
파라,73,179
라자,68,152
마아,93,153
파아,62,172
하하,42,153
다타,77,174
바하,43,171
바파,42,180
사차,72,163
다차,89,146
하차,92,147
바아,59,181
자나,61,141
나바,51,146
나차,93,186
마카,79,165
나파,81,167
타다,52,151
아사,82,177
바마,98,167
타나,62,163
마가,60,170
나타,78,154
마바,95,143
나파,40,152
자타,82,188
카라,75,177
라차,51,147
사나,96,140
파카,82,177
아사,71,142
차차,48,153
하마,69,188
카마,64,182
타아,80,169
라라,75,160
가카,42,167
다다,70,178
다사,45,169
타카,50,172
가아,53,164
카다,63,181
파사,72,183
사카,55,168
다카,49,141
나카,82,169
다가,96,166
파하,59,171
차타,95,183
바차,49,184
가하,61,142
자파,74,153
카다,55,152
자마,99,163
마파,49,182
사다,74,167
사파,64,143
타차,58,186
파파,91,144
하아,69,187
타사,95,150
다파,44,159
나자,84,164
타자,41,146
바라,43,165
라아,45,156
아라,64,150
나아,68,147
파라,78,152
카카,76,163
마타,76,188
가카,69,175
파마,55,144
자파,41,152
하라,47,172
아다,87,147
바타,97,141
아차,95,187
바타,80,169
사다,93,176
마파,90,158
나사,76,171
차가,45,140
자나,50,164
다아,49,169
아자,79,170
사타,80,165
마다,98,164
사파,40,153
마파,98,147
바사,56,154
아차,79,180
아나,52,175
나자,89,161
자바,81,175
차타,48,167
나가,43,148
사아,59,145
나가,93,158
다나,58,173
하카,46,149
마아,92,164
아차,67,142
타라,84,142
하바,43,181
카타,96,160
사라,61,141
하사,64,189
사가,48,171
파라,90,172
자카,81,157
라라,48,153
다차,87,144
바다,68,166
마하,55,173
타나,84,182
가차,61,153
차자,40,186
타아,60,176
타차,53,156
카바,61,157
다자,95,162
마다,43,170
바아,71,169
하가,70,147
바타,50,180
하사,48,146
다자,57,152
마차,72,173
마아,41,177
라사,59,170
사마,97,172
나다,66,174
사자,69,161
사다,73,144
자사,49,148
바바,55,150
마바,74,166
카라,95,168
타다,67,172
카다,65,186
카다,73,149
바다,47,150
바가,80,147
나사,81,170
다카,76,182
카나,93,144
하바,71,166
바가,42,183
자라,57,186
사파,40,185
아라,99,178
다카,52,153
나바,77,154
마하,49,158
하사,77,165
하사,40,157
파바,47,185
자차,71,177
사자,41,161
마자,52,164
아다,72,145
다가,49,162
카하,96,156
나타,93,176
다바,51,146
자마,54,149
파라,91,156
카하,74,169
아사,45,172
가가,76,174
마사,86,158
파파,75,168
자아,88,167
아타,96,152
다파,70,185
나카,94,156
파아,43,186
바다,75,179
바사,99,188
파나,64,179
마사,59,167
다아,81,164
다파,71,175
하나,88,160
파가,88,163
마자,87,152
카아,79,176
아다,94,148
다바,56,168
라마,43,144
라바,91,145
바아,50,156
자아,68,178
카가,80,179
나사,64,161
가타,79,173
자하,73,168
가나,98,159
마카,41,185
사나,62,141
타타,78,168
라바,85,170
아나,53,177
타카,77,169
파타,82,178
자아,83,152
타사,65,186
마아,84,173
카차,77,156
마하,65,140
바차,78,160
아아,70,183
나마,86,168
나파,69,148
하다,83,142
카카,67,159
다라,46,142
하가,92,185
아바,64,182
카파,69,150
가바,57,157
카나,91,185
다카,49,157
나차,89,153
타카,92,158
차아,95,142
마라,80,180
마타,95,174
자차,43,171
다차,58,142
가하,72,150
가아,61,165
나카,68,181
바파,72,187
파타,87,153
사하,63,171
바나,78,173
나자,43,175
차아,56,157
하라,75,180
다가,68,175
다나,65,182
하하,77,185
바차,94,149
자가,77,171
파아,56,181
타파,43,177
라마,89,159
바나,47,169
다카,60,143
마차,66,149
자마,79,156
카자,61,140
가하,67,173
파마,47,178
라하,94,146
사파,95,144
나사,76,170
다파,46,158
자라,76,151
카라,59,187
아라,57,161
하사,71,151
하라,57,174
다나,41,176
바나,91,161
가다,50,168
파마,78,140
라사,53,160
라바,43,147
다하,56,140
나다,51,149
카차,94,141
라나,82,171
차나,89,155
하아,93,173
가파,96,156
하다,77,140
사바,77,154
사마,92,173
하마,64,179
자나,50,150
하자,45,150
아마,83,180
마마,72,188
파자,99,183
라카,91,153
파다,52,154
가아,96,163
차라,42,144
사타,96,158
다가,90,168
차다,75,164
파가,43,154
하파,49,151
가나,92,141
카가,88,187
라사,49,151
아마,49,189
다마,75,169
라바,51,157
파다,53,157
자아,67,167
다사,68,176
바차,60,174
라차,66,152
